2017-05-14 00:40:10 INFO  TC001_VerifyLoginWithInvalidCredentials:26 - ********************Starting VerifyLoginWithInvalidCredentials test*******************
2017-05-14 00:50:07 INFO  TC001_VerifyLoginWithInvalidCredentials:26 - ********************Starting VerifyLoginWithInvalidCredentials test*******************
2017-05-14 00:50:08 INFO  Homepage:48 - Clicked on signIn link and the object is[[FirefoxDriver: firefox on ANY (24fc094d-3152-4447-a471-5ee5eeb2c335)] -> xpath: //a[@class='login']]
2017-05-14 00:55:01 INFO  TC001_VerifyLoginWithInvalidCredentials:26 - ********************Starting VerifyLoginWithInvalidCredentials test*******************
2017-05-14 00:55:02 INFO  Homepage:48 - Clicked on signIn link and the object is[[FirefoxDriver: firefox on ANY (12380fae-cf06-4a86-9cc1-7dbbb00b3544)] -> xpath: //a[@class='login']]
2017-05-14 00:55:09 INFO  Homepage:50 - Entered email id and the object is[[FirefoxDriver: firefox on ANY (12380fae-cf06-4a86-9cc1-7dbbb00b3544)] -> xpath: //input[@id='email']]
2017-05-14 00:55:10 INFO  Homepage:52 - entered password and the object is[[FirefoxDriver: firefox on ANY (12380fae-cf06-4a86-9cc1-7dbbb00b3544)] -> xpath: //input[@id='passwd']]
2017-05-14 00:55:10 INFO  Homepage:54 - clicked on submit button and the object is[[FirefoxDriver: firefox on ANY (12380fae-cf06-4a86-9cc1-7dbbb00b3544)] -> xpath: //button[@id='SubmitLogin']]
2017-05-14 00:58:57 INFO  TC001_VerifyLoginWithInvalidCredentials:26 - ********************Starting VerifyLoginWithInvalidCredentials test*******************
2017-05-14 00:58:57 INFO  Homepage:48 - Clicked on signIn link and the object is[[FirefoxDriver: firefox on ANY (b898527e-b5e5-4cde-b675-3ce8038b22f9)] -> xpath: //a[@class='login']]
2017-05-14 00:59:14 INFO  Homepage:50 - Entered email id and the object is[[FirefoxDriver: firefox on ANY (b898527e-b5e5-4cde-b675-3ce8038b22f9)] -> xpath: //input[@id='email']]
2017-05-14 00:59:15 INFO  Homepage:52 - entered password and the object is[[FirefoxDriver: firefox on ANY (b898527e-b5e5-4cde-b675-3ce8038b22f9)] -> xpath: //input[@id='passwd']]
